,id,des
备注,id,天赋描述
,426,本命的物理攻击提升<color=#FFA517>12%</color>
,427,本命的物理防御提升<color=#FFA517>30%</color>
,428,本命的天赋效果达到<color=#FFA517>2</color>级
,429,本命的伤害加成效果提升<color=#FFA517>30%</color>
,430,本命的抗暴率提升<color=#FFA517>10%</color>
,431,本命的天赋效果达到<color=#FFA517>3</color>级
,432,本命的抗暴率提升<color=#FFA517>10%</color>
,434,本命的魔法攻击提升<color=#FFA517>12%</color>
,435,本命的魔法防御提升<color=#FFA517>30%</color>
,436,本命的天赋效果达到<color=#FFA517>2</color>级
,437,本命的暴击率提升<color=#FFA517>30%</color>
,438,本命的暴击伤害提升<color=#FFA517>20%</color>
,439,本命的天赋效果达到<color=#FFA517>3</color>级
,440,本命的暴击率提升<color=#FFA517>30%</color>
,442,本命的物理攻击提升<color=#FFA517>12%</color>
,443,本命的生命值提升<color=#FFA517>12%</color>
,444,本命的天赋效果达到<color=#FFA517>2</color>级
,445,本命的暴击率提升<color=#FFA517>30%</color>
,446,本命的暴击伤害提升<color=#FFA517>20%</color>
,447,本命的天赋效果达到<color=#FFA517>3</color>级
,448,本命的暴击率提升<color=#FFA517>30%</color>
,450,本命的物理攻击提升<color=#FFA517>12%</color>
,451,本命的物理防御提升<color=#FFA517>30%</color>
,452,本命的天赋效果达到<color=#FFA517>2</color>级
,453,本命的暴击率提升<color=#FFA517>30%</color>
,454,本命的暴击伤害提升<color=#FFA517>20%</color>
,455,本命的天赋效果达到<color=#FFA517>3</color>级
,456,本命的暴击伤害提升<color=#FFA517>20%</color>
,458,本命的生命值提升<color=#FFA517>12%</color>
,459,本命的魔法攻击提升<color=#FFA517>12%</color>
,460,本命的天赋效果达到<color=#FFA517>2</color>级
,461,本命的命中率提升<color=#FFA517>30%</color>
,462,本命的闪避率提升<color=#FFA517>5%</color>
,463,本命的天赋效果达到<color=#FFA517>3</color>级
,464,本命的闪避率提升<color=#FFA517>5%</color>
,466,本命的物理攻击提升<color=#FFA517>12%</color>
,467,本命的物理防御提升<color=#FFA517>30%</color>
,468,本命的天赋效果达到<color=#FFA517>2</color>级
,469,本命的破格挡率提升<color=#FFA517>10%</color>
,470,本命的伤害加成效果提升<color=#FFA517>30%</color>
,471,本命的天赋效果达到<color=#FFA517>3</color>级
,472,本命的伤害加成效果提升<color=#FFA517>30%</color>
,474,本命的生命值提升<color=#FFA517>12%</color>
,475,本命的物理防御提升<color=#FFA517>30%</color>
,476,本命的天赋效果达到<color=#FFA517>2</color>级
,477,本命的伤害减免效果提升<color=#FFA517>10%</color>
,478,本命的格挡率提升<color=#FFA517>10%</color>
,479,本命的天赋效果达到<color=#FFA517>3</color>级
,480,本命的格挡率提升<color=#FFA517>10%</color>
,490,本命的物理防御提升<color=#FFA517>30%</color>
,491,本命的物理攻击提升<color=#FFA517>12%</color>
,492,本命的天赋效果达到<color=#FFA517>2</color>级
,493,本命的格挡率提升<color=#FFA517>10%</color>
,494,本命的抗暴率提升<color=#FFA517>10%</color>
,495,本命的天赋效果达到<color=#FFA517>3</color>级
,496,本命的抗暴率提升<color=#FFA517>10%</color>
,498,本命的物理攻击提升<color=#FFA517>12%</color>
,499,本命的生命值提升<color=#FFA517>12%</color>
,500,本命的天赋效果达到<color=#FFA517>2</color>级
,501,本命的暴击率提升<color=#FFA517>30%</color>
,502,本命的伤害加成效果提升<color=#FFA517>30%</color>
,503,本命的天赋效果达到<color=#FFA517>3</color>级
,504,本命的伤害加成效果提升<color=#FFA517>30%</color>
,514,本命的魔法攻击提升<color=#FFA517>12%</color>
,515,本命的魔法防御提升<color=#FFA517>30%</color>
,516,本命的天赋效果达到<color=#FFA517>2</color>级
,517,本命的破格挡率提升<color=#FFA517>10%</color>
,518,本命的暴击率提升<color=#FFA517>30%</color>
,519,本命的天赋效果达到<color=#FFA517>3</color>级
,520,本命的暴击率提升<color=#FFA517>30%</color>
,538,本命的物理攻击提升<color=#FFA517>12%</color>
,539,本命的物理防御提升<color=#FFA517>30%</color>
,540,本命的天赋效果达到<color=#FFA517>2</color>级
,541,本命的暴击率提升<color=#FFA517>30%</color>
,542,本命的暴击伤害提升<color=#FFA517>20%</color>
,543,本命的天赋效果达到<color=#FFA517>3</color>级
,544,本命的暴击伤害提升<color=#FFA517>20%</color>
,546,本命的魔法攻击提升<color=#FFA517>12%</color>
,547,本命的生命值提升<color=#FFA517>12%</color>
,548,本命的天赋效果达到<color=#FFA517>2</color>级
,549,本命的命中率提升<color=#FFA517>30%</color>
,550,本命的暴击率提升<color=#FFA517>30%</color>
,551,本命的天赋效果达到<color=#FFA517>3</color>级
,552,本命的暴击率提升<color=#FFA517>30%</color>
,530,本命的物理防御提升<color=#FFA517>30%</color>
,531,本命的生命值提升<color=#FFA517>12%</color>
,532,本命的天赋效果达到<color=#FFA517>2</color>级
,533,本命的格挡率提升<color=#FFA517>10%</color>
,534,本命的伤害减免效果提升<color=#FFA517>10%</color>
,535,本命的天赋效果达到<color=#FFA517>3</color>级
,536,本命的伤害减免效果提升<color=#FFA517>10%</color>
,554,本命的物理防御提升<color=#FFA517>30%</color>
,555,本命的物理攻击提升<color=#FFA517>12%</color>
,556,本命的天赋效果达到<color=#FFA517>2</color>级
,557,本命的破格挡率提升<color=#FFA517>10%</color>
,558,本命的命中率提升<color=#FFA517>30%</color>
,559,本命的天赋效果达到<color=#FFA517>3</color>级
,560,本命的命中率提升<color=#FFA517>30%</color>
