,id,name,des,functionDes,shop_des
备注,id,名称,描述,功能描述,商城功能描述
,410040,简易委托报酬,完成自律联盟的委托任务后获得的报酬。,开启后有几率获得各类有助于冒险的材料与道具。,开启后有几率获得各类有助于冒险的材料与道具。
,410041,标准委托报酬,完成自律联盟的委托任务后获得的报酬。,开启后有几率获得各类有助于冒险的材料与道具。,开启后有几率获得各类有助于冒险的材料与道具。
,410042,进阶委托报酬,完成自律联盟的委托任务后获得的报酬。,开启后有几率获得各类有助于冒险的材料与道具。,开启后有几率获得各类有助于冒险的材料与道具。
,410043,高等委托报酬,完成自律联盟的委托任务后获得的报酬。,开启后有几率获得各类有助于冒险的材料与道具。,开启后有几率获得各类有助于冒险的材料与道具。
,410044,特级委托报酬,完成自律联盟的委托任务后获得的报酬。,开启后有几率获得各类有助于冒险的材料与道具。,开启后有几率获得各类有助于冒险的材料与道具。
,610012,蓝色本命刻纹,神秘的纹石上刻有本命的往昔经历，似乎能以此缔结与本命的誓约。,集齐一定数量后可随机获得1个R级别本命。,集齐一定数量后可随机获得1个R级别本命。
,610013,紫色本命刻纹,神秘的纹石上刻有本命的往昔经历，似乎能以此缔结与本命的誓约。,集齐一定数量后可随机获得1个SR级别本命。,集齐一定数量后可随机获得1个SR级别本命。
,610014,橙色本命刻纹,神秘的纹石上刻有本命的往昔经历，似乎能以此缔结与本命的誓约。,集齐一定数量后可随机获得1个SSR级别本命。,集齐一定数量后可随机获得1个SSR级别本命。
,610022,蓝色符文原晶,靛蓝色的晶石，在世界各地均有发现，是制成符文的关键材料。,集齐一定数量后可随机获得1个蓝色符文。,集齐一定数量后可随机获得1个蓝色符文。
,610023,紫色符文原晶,绛紫色的晶石，在秘境深处才会发现，是制成符文的关键材料。,集齐一定数量后可随机获得1个紫色符文。,集齐一定数量后可随机获得1个紫色符文。
,610024,橙色符文原晶,橙金色的晶石，在常人难以抵达的地域中才有可能发现，是制成符文的关键材料。,集齐一定数量后可随机获得1个橙色符文。,集齐一定数量后可随机获得1个橙色符文。
,3011154,轻语雪人,一片片晶莹的雪花筑成可爱的雪人。听，它似乎在说着什么。,尼薇的专属共鸣材料，漫天飞雪构成了她最好的伙伴。,尼薇的专属共鸣材料，漫天飞雪构成了她最好的伙伴。
,3011164,蛛皇饰印,蜘蛛女王的饰印，既是艾达的荣耀，也是她的伤痛。,艾达的专属共鸣材料，承载着她的荣耀与伤痛。,艾达的专属共鸣材料，承载着她的荣耀与伤痛。
