,required,required,optional,required,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,int32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,hero_id,name,part,strengthen_level,limit_hero_level,limit_star,money,material_id1,material_num1,material_id2,material_num2,material_id3,material_num3,material_id4,material_num4
备注,id,英雄id,name,部位,强化等级,限制英雄等级,限制星级等级,所需金币数量,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,材料4ID,材料4数量
,42,101,,1,41,41,4,4200,2110001,5,2110202,3,0,0,0,0
,43,101,,1,42,42,4,4400,2110001,5,2110202,3,0,0,0,0
,44,101,,1,43,43,4,4600,2110001,5,2110202,3,0,0,0,0
,45,101,,1,44,44,4,4800,2110001,5,2110202,3,0,0,0,0
,46,101,,1,45,45,4,5000,2110001,5,2110202,5,0,0,0,0
,47,101,,1,46,46,4,5200,2110001,5,2110202,5,0,0,0,0
,48,101,,1,47,47,4,5400,2110001,5,2110202,5,0,0,0,0
,49,101,,1,48,48,4,5600,2110001,5,2110202,5,0,0,0,0
,50,101,,1,49,49,4,5800,2110001,5,2110202,5,0,0,0,0
,51,101,,1,50,50,4,6000,2110001,5,2110202,5,0,0,0,0
,52,101,,1,51,51,5,6300,2110002,1,2110203,2,0,0,0,0
,53,101,,1,52,52,5,6600,2110002,1,2110203,2,0,0,0,0
,54,101,,1,53,53,5,6900,2110002,1,2110203,2,0,0,0,0
,55,101,,1,54,54,5,7200,2110002,1,2110203,2,0,0,0,0
,56,101,,1,55,55,5,7500,2110002,1,2110203,2,0,0,0,0
,57,101,,1,56,56,5,7800,2110002,2,2110203,2,0,0,0,0
,58,101,,1,57,57,5,8100,2110002,2,2110203,2,0,0,0,0
,59,101,,1,58,58,5,8400,2110002,2,2110203,2,0,0,0,0
,60,101,,1,59,59,5,8700,2110002,2,2110203,2,0,0,0,0
,61,101,,1,60,60,5,9000,2110002,2,2110203,2,0,0,0,0
,62,101,,1,61,61,6,9300,2110002,2,2110203,3,0,0,0,0
,63,101,,1,62,62,6,9600,2110002,2,2110203,3,0,0,0,0
,64,101,,1,63,63,6,9900,2110002,2,2110203,3,0,0,0,0
,65,101,,1,64,64,6,10200,2110002,2,2110203,3,0,0,0,0
,66,101,,1,65,65,6,10500,2110002,2,2110203,3,0,0,0,0
,67,101,,1,66,66,6,10800,2110002,3,2110203,3,0,0,0,0
,68,101,,1,67,67,6,11100,2110002,3,2110203,3,0,0,0,0
,69,101,,1,68,68,6,11400,2110002,3,2110203,3,0,0,0,0
,70,101,,1,69,69,6,11700,2110002,3,2110203,3,0,0,0,0
,71,101,,1,70,70,6,12000,2110002,3,2110203,3,0,0,0,0
,72,101,,1,71,71,7,12300,2110002,3,2110204,2,0,0,0,0
,73,101,,1,72,72,7,12600,2110002,3,2110204,2,0,0,0,0
,74,101,,1,73,73,7,12900,2110002,3,2110204,2,0,0,0,0
,75,101,,1,74,74,7,13200,2110002,3,2110204,2,0,0,0,0
,76,101,,1,75,75,7,13500,2110002,3,2110204,2,0,0,0,0
,77,101,,1,76,76,7,13800,2110002,4,2110204,3,0,0,0,0
,78,101,,1,77,77,7,14100,2110002,4,2110204,3,0,0,0,0
,79,101,,1,78,78,7,14400,2110002,4,2110204,3,0,0,0,0
,80,101,,1,79,79,7,14700,2110002,4,2110204,3,0,0,0,0
,81,101,,1,80,80,7,15000,2110002,4,2110204,3,0,0,0,0
,123,101,,2,41,41,4,4200,2110001,5,2110102,3,0,0,0,0
,124,101,,2,42,42,4,4400,2110001,5,2110102,3,0,0,0,0
,125,101,,2,43,43,4,4600,2110001,5,2110102,3,0,0,0,0
,126,101,,2,44,44,4,4800,2110001,5,2110102,3,0,0,0,0
,127,101,,2,45,45,4,5000,2110001,5,2110102,5,0,0,0,0
,128,101,,2,46,46,4,5200,2110001,5,2110102,5,0,0,0,0
,129,101,,2,47,47,4,5400,2110001,5,2110102,5,0,0,0,0
,130,101,,2,48,48,4,5600,2110001,5,2110102,5,0,0,0,0
,131,101,,2,49,49,4,5800,2110001,5,2110102,5,0,0,0,0
,132,101,,2,50,50,4,6000,2110001,5,2110102,5,0,0,0,0
,133,101,,2,51,51,5,6300,2110002,1,2110103,2,0,0,0,0
,134,101,,2,52,52,5,6600,2110002,1,2110103,2,0,0,0,0
,135,101,,2,53,53,5,6900,2110002,1,2110103,2,0,0,0,0
,136,101,,2,54,54,5,7200,2110002,1,2110103,2,0,0,0,0
,137,101,,2,55,55,5,7500,2110002,1,2110103,2,0,0,0,0
,138,101,,2,56,56,5,7800,2110002,2,2110103,2,0,0,0,0
,139,101,,2,57,57,5,8100,2110002,2,2110103,2,0,0,0,0
,140,101,,2,58,58,5,8400,2110002,2,2110103,2,0,0,0,0
,141,101,,2,59,59,5,8700,2110002,2,2110103,2,0,0,0,0
,142,101,,2,60,60,5,9000,2110002,2,2110103,2,0,0,0,0
,143,101,,2,61,61,6,9300,2110002,2,2110103,3,0,0,0,0
,144,101,,2,62,62,6,9600,2110002,2,2110103,3,0,0,0,0
,145,101,,2,63,63,6,9900,2110002,2,2110103,3,0,0,0,0
,146,101,,2,64,64,6,10200,2110002,2,2110103,3,0,0,0,0
,147,101,,2,65,65,6,10500,2110002,2,2110103,3,0,0,0,0
,148,101,,2,66,66,6,10800,2110002,3,2110103,3,0,0,0,0
,149,101,,2,67,67,6,11100,2110002,3,2110103,3,0,0,0,0
,150,101,,2,68,68,6,11400,2110002,3,2110103,3,0,0,0,0
,151,101,,2,69,69,6,11700,2110002,3,2110103,3,0,0,0,0
,152,101,,2,70,70,6,12000,2110002,3,2110103,3,0,0,0,0
,153,101,,2,71,71,7,12300,2110002,3,2110104,2,0,0,0,0
,154,101,,2,72,72,7,12600,2110002,3,2110104,2,0,0,0,0
,155,101,,2,73,73,7,12900,2110002,3,2110104,2,0,0,0,0
,156,101,,2,74,74,7,13200,2110002,3,2110104,2,0,0,0,0
,157,101,,2,75,75,7,13500,2110002,3,2110104,2,0,0,0,0
,158,101,,2,76,76,7,13800,2110002,4,2110104,3,0,0,0,0
,159,101,,2,77,77,7,14100,2110002,4,2110104,3,0,0,0,0
,160,101,,2,78,78,7,14400,2110002,4,2110104,3,0,0,0,0
,161,101,,2,79,79,7,14700,2110002,4,2110104,3,0,0,0,0
,162,101,,2,80,80,7,15000,2110002,4,2110104,3,0,0,0,0
,204,101,,3,41,41,4,4200,2110001,5,2110402,3,2110102,1,0,0
,205,101,,3,42,42,4,4400,2110001,5,2110402,3,2110102,1,0,0
,206,101,,3,43,43,4,4600,2110001,5,2110402,3,2110102,1,0,0
,207,101,,3,44,44,4,4800,2110001,5,2110402,3,2110102,1,0,0
,208,101,,3,45,45,4,5000,2110001,5,2110402,5,2110102,2,0,0
,209,101,,3,46,46,4,5200,2110001,5,2110402,5,2110102,2,0,0
,210,101,,3,47,47,4,5400,2110001,5,2110402,5,2110102,2,0,0
,211,101,,3,48,48,4,5600,2110001,5,2110402,5,2110102,2,0,0
,212,101,,3,49,49,4,5800,2110001,5,2110402,5,2110102,2,0,0
,213,101,,3,50,50,4,6000,2110001,5,2110402,5,2110102,2,0,0
,214,101,,3,51,51,5,6300,2110002,1,2110403,2,2110103,1,0,0
,215,101,,3,52,52,5,6600,2110002,1,2110403,2,2110103,1,0,0
,216,101,,3,53,53,5,6900,2110002,1,2110403,2,2110103,1,0,0
,217,101,,3,54,54,5,7200,2110002,1,2110403,2,2110103,1,0,0
,218,101,,3,55,55,5,7500,2110002,1,2110403,2,2110103,1,0,0
,219,101,,3,56,56,5,7800,2110002,2,2110403,2,2110103,1,0,0
,220,101,,3,57,57,5,8100,2110002,2,2110403,2,2110103,1,0,0
,221,101,,3,58,58,5,8400,2110002,2,2110403,2,2110103,1,0,0
,222,101,,3,59,59,5,8700,2110002,2,2110403,2,2110103,1,0,0
,223,101,,3,60,60,5,9000,2110002,2,2110403,2,2110103,1,0,0
,224,101,,3,61,61,6,9300,2110002,2,2110403,3,2110103,1,0,0
,225,101,,3,62,62,6,9600,2110002,2,2110403,3,2110103,1,0,0
,226,101,,3,63,63,6,9900,2110002,2,2110403,3,2110103,1,0,0
,227,101,,3,64,64,6,10200,2110002,2,2110403,3,2110103,1,0,0
,228,101,,3,65,65,6,10500,2110002,2,2110403,3,2110103,1,0,0
,229,101,,3,66,66,6,10800,2110002,3,2110403,3,2110103,1,0,0
,230,101,,3,67,67,6,11100,2110002,3,2110403,3,2110103,1,0,0
,231,101,,3,68,68,6,11400,2110002,3,2110403,3,2110103,1,0,0
,232,101,,3,69,69,6,11700,2110002,3,2110403,3,2110103,1,0,0
,233,101,,3,70,70,6,12000,2110002,3,2110403,3,2110103,1,0,0
