,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
英雄进阶,id,hero_type_id,hero_class,hero_Level,item_id1,item_num1,replace_item,money,attr_type1,data1,attr_type2,data2,attr_type3,data3,equipment_addition
备注,id,英雄id,进阶等级,等级要求,物品,物品数量,替代物品,消耗钱,属性,值,属性,值,属性,值,装备属性加成 万分比
,10103,101,3,1,3011014,40,3010014,10000,0,0,0,0,0,0,1000
,10203,102,3,1,3011024,40,3010014,10000,0,0,0,0,0,0,1000
,10303,103,3,1,3011034,40,3010024,10000,0,0,0,0,0,0,1000
,10403,104,3,1,3011044,40,3010014,10000,0,0,0,0,0,0,1000
,10503,105,3,1,3011054,40,3010014,10000,0,0,0,0,0,0,1000
,10603,106,3,1,3011064,40,3010014,10000,0,0,0,0,0,0,1000
,10703,107,3,1,3011074,40,3010024,10000,0,0,0,0,0,0,1000
,10803,108,3,1,3011084,40,3010014,10000,0,0,0,0,0,0,1000
,11103,111,3,1,3011114,40,3010024,10000,0,0,0,0,0,0,1000
,11203,112,3,1,3011124,40,3010024,10000,0,0,0,0,0,0,1000
,11303,113,3,1,3011134,40,3010024,10000,0,0,0,0,0,0,1000
,11403,114,3,1,3011144,40,3010014,10000,0,0,0,0,0,0,1000
,11503,115,3,1,3011154,40,3010014,10000,0,0,0,0,0,0,1000
,11603,116,3,1,3011164,40,3010014,10000,0,0,0,0,0,0,1000
,20103,201,3,1,3012014,40,3010014,10000,0,0,0,0,0,0,1000
,30103,301,3,1,3013014,40,3010014,10000,0,0,0,0,0,0,1000
,30203,302,3,1,3013024,40,3010014,10000,0,0,0,0,0,0,1000
,40103,401,3,1,3014014,40,3010024,10000,0,0,0,0,0,0,1000
