,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,713801,,没想到，地底竟会有这样的空间。看这四处弥漫的死灵之气，这里应该会有些危险的魔物。大家前进的时候小心一些。,,,,没想到，地底竟会有这样的空间。看这四处弥漫的死灵之气，这里应该会有些危险的魔物。大家前进的时候小心一些。
,713901,,这里一直在汇聚死灵之气，气息太过浓厚了，没有办法强行突破。为了安全，我们还是绕路走吧。,,,,这里一直在汇聚死灵之气，气息太过浓厚了，没有办法强行突破。为了安全，我们还是绕路走吧。
,714001,,咦，这是什么法阵？,,,,咦，这是什么法阵？
,714002,,这应该是魔族遗留下的法阵。根据我看过的文献，颜色相同的法阵是可以相互传送的。或许，我们能因此找到更多宝物呢。,,,,这应该是魔族遗留下的法阵。根据我看过的文献，颜色相同的法阵是可以相互传送的。或许，我们能因此找到更多宝物呢。
,714003,,那还等什么，赶紧去试试吧！,,,,那还等什么，赶紧去试试吧！
,714101,,（宝箱突然化身为可怕的魔物，向西蒙他们扑来）,,,,（宝箱突然化身为可怕的魔物，向西蒙他们扑来）
,714102,,这是什么怪物！？真是扫了我寻宝的兴致，看我一拳打爆你。,,,,这是什么怪物！？真是扫了我寻宝的兴致，看我一拳打爆你。
,714201,魔魂之仆,被封印了这么多年了，终于又遇到人类了！就让你的灵魂成为高贵魔族的养料吧！,,,,被封印了这么多年了，终于又遇到人类了！就让你的灵魂成为高贵魔族的养料吧！
,714301,怨魔之灵,嗷……嗷呜呜呜呜！,,,,嗷……嗷呜呜呜呜！
,714401,毒戾法师,真是好久没有见到人类了！就让你的灵魂成为魔神大人征服森林的献祭品吧！,,,,真是好久没有见到人类了！就让你的灵魂成为魔神大人征服森林的献祭品吧！
,714501,赤血魔魂,许久没有闻到这样美味灵魂的气息了……人类！你能被魔族吞噬灵<br>魂，是你的荣幸！,,,,许久没有闻到这样美味灵魂的气息了……人类！你能被魔族吞噬灵<br>魂，是你的荣幸！
,714601,泰坦战灵,魔族……走开！不准……不准……靠近森林！泰坦……绝不退后！,,,,魔族……走开！不准……不准……靠近森林！泰坦……绝不退后！
,714602,,这个大块头已经神志不清，就让我这个未来帝国第一剑士把你打醒<br>吧！,,,,这个大块头已经神志不清，就让我这个未来帝国第一剑士把你打醒<br>吧！
,714701,,（已经找到全部宝物了，现在可以离开这里了。）,,,,（已经找到全部宝物了，现在可以离开这里了。）
,721101,,入口随时会被风沙掩盖，离开后将无法再度进入。,我要离开。,再找找其他宝物。,,入口随时会被风沙掩盖，离开后将无法再度进入。
,721501,泰坦战灵,啊，你们……是人类？你们身上有亲切的精灵气息……你们是精灵的援军吗？古加尼尔还好吗？,,,,啊，你们……是人类？你们身上有亲切的精灵气息……你们是精灵的援军吗？古加尼尔还好吗？
,721502,,古加尼尔安然无恙，魔族已经被打败了。,,,,古加尼尔安然无恙，魔族已经被打败了。
,721503,泰坦战灵,这样吗……太好了……看来我的使命可以结束了……,,,,这样吗……太好了……看来我的使命可以结束了……
,721504,,（话音刚落，泰坦战灵的身躯便渐渐消散，再也不见踪影。）,,,,（话音刚落，泰坦战灵的身躯便渐渐消散，再也不见踪影。）
,721505,,为了自己的信念，守候了这么久。泰坦一族的勇士真是令人钦佩。,,,,为了自己的信念，守候了这么久。泰坦一族的勇士真是令人钦佩。
