,id,name,des
备注,本命卡id+天赋等级,天赋技能名称,描述
,40121,铁壁,格挡提升<color=#E57A20>8%</color>
,40122,铁壁,格挡提升<color=#E57A20>12%</color>
,40123,铁壁,格挡提升<color=#E57A20>16%</color>
,40124,铁壁,格挡提升<color=#E57A20>20%</color>
,40131,圣铠,对战精英或领主时，受到伤害降低<color=#E57A20>10%</color>
,40132,圣铠,对战精英或领主时，受到伤害降低<color=#E57A20>15%</color>
,40133,圣铠,对战精英或领主时，受到伤害降低<color=#E57A20>20%</color>
,40134,圣铠,对战精英或领主时，受到伤害降低<color=#E57A20>25%</color>
,40141,初源·Ⅱ,对战非冒险者时，初始奥义值提升<color=#E57A20>1000</color>点
,40142,初源·Ⅱ,对战非冒险者时，初始奥义值提升<color=#E57A20>1100</color>点
,40143,初源·Ⅱ,对战非冒险者时，初始奥义值提升<color=#E57A20>1200</color>点
,40144,初源·Ⅱ,对战非冒险者时，初始奥义值提升<color=#E57A20>1300</color>点
,40221,闪避,闪避提升<color=#E57A20>3%</color>
,40222,闪避,闪避提升<color=#E57A20>4%</color>
,40223,闪避,闪避提升<color=#E57A20>6%</color>
,40224,闪避,闪避提升<color=#E57A20>8%</color>
,40231,坚守,对战人族或妖精时，受到伤害降低<color=#E57A20>12%</color>
,40232,坚守,对战人族或妖精时，受到伤害降低<color=#E57A20>18%</color>
,40233,坚守,对战人族或妖精时，受到伤害降低<color=#E57A20>24%</color>
,40234,坚守,对战人族或妖精时，受到伤害降低<color=#E57A20>30%</color>
,40241,循转·Ⅱ,受击时恢复奥义值提升<color=#E57A20>30%</color>
,40242,循转·Ⅱ,受击时恢复奥义值提升<color=#E57A20>45%</color>
,40243,循转·Ⅱ,受击时恢复奥义值提升<color=#E57A20>60%</color>
,40244,循转·Ⅱ,受击时恢复奥义值提升<color=#E57A20>75%</color>
,40321,坚铠·Ⅰ,物理防御提升<color=#E57A20>5%</color>
,40322,坚铠·Ⅰ,物理防御提升<color=#E57A20>7%</color>
,40323,坚铠·Ⅰ,物理防御提升<color=#E57A20>9%</color>
,40324,坚铠·Ⅰ,物理防御提升<color=#E57A20>12%</color>
,40331,苍垒,对战兽人或异虫时，受到伤害降低<color=#E57A20>12%</color>
,40332,苍垒,对战兽人或异虫时，受到伤害降低<color=#E57A20>18%</color>
,40333,苍垒,对战兽人或异虫时，受到伤害降低<color=#E57A20>24%</color>
,40334,苍垒,对战兽人或异虫时，受到伤害降低<color=#E57A20>30%</color>
,40341,焰铠,对战精英或领主时，伤害减免提升<color=#E57A20>15%</color>
,40342,焰铠,对战精英或领主时，伤害减免提升<color=#E57A20>22%</color>
,40343,焰铠,对战精英或领主时，伤害减免提升<color=#E57A20>29%</color>
,40344,焰铠,对战精英或领主时，伤害减免提升<color=#E57A20>37%</color>
,40421,咒域·Ⅰ,魔法防御提升<color=#E57A20>5%</color>
,40422,咒域·Ⅰ,魔法防御提升<color=#E57A20>7%</color>
,40423,咒域·Ⅰ,魔法防御提升<color=#E57A20>9%</color>
,40424,咒域·Ⅰ,魔法防御提升<color=#E57A20>12%</color>
,40431,光佑,对战魔族或亡灵时，受到伤害降低<color=#E57A20>12%</color>
,40432,光佑,对战魔族或亡灵时，受到伤害降低<color=#E57A20>18%</color>
,40433,光佑,对战魔族或亡灵时，受到伤害降低<color=#E57A20>24%</color>
,40434,光佑,对战魔族或亡灵时，受到伤害降低<color=#E57A20>30%</color>
,40441,堕守,整场战斗1次，受到的奥义技伤害降低<color=#E57A20>40%</color>
,40442,堕守,整场战斗1次，受到的奥义技伤害降低<color=#E57A20>60%</color>
,40443,堕守,整场战斗1次，受到的奥义技伤害降低<color=#E57A20>80%</color>
,40444,堕守,整场战斗<color=#E57A20>1</color>次，受到的奥义技与怪物的大招伤害降低<color=#E57A20>40%</color>
