,required,optional,optional,optional,optional,optional,repeated,repeated,optional
,uint32,string,string,string,uint32,string,uint32,uint32,uint32
,id,headPath,normalHalfPath,live_path,default_face,twinkle_que,related_persons,related_type,area_id
备注,id,标准头像,标准半身像,Live2D预制体资源的路径,默认表情id,眨眼twinkle的序列，使用LiveTwinkle表中的Id拼成数组实现,图鉴npc关系id,图鉴npc关系类型,所属片区id
,4334,Textures\Atlas\Dyn\CharacterCommonHead\ForgingEngineer.png,Textures\Atlas\Dyn\CharacterHalfBody\ForgingEngineer.png,,0,,0,0,0
,4335,Textures\Atlas\Dyn\CharacterCommonHead\TheballoongirlXiaoya.png,Textures\Atlas\Dyn\CharacterHalfBody\TheballoongirlXiaoya.png,npc_qiqiunvhaixiaoya,158001,,0,0,0
,4336,Textures\Atlas\Dyn\CharacterCommonHead\Edgar.png,Textures\Atlas\Dyn\CharacterHalfBody\Edgar.png,npc_jialin,107001,,2035;3001,0;0,2001
,4337,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\DivaLuna.png,npc_geji,156001,,0,0,0
,4338,Textures\Atlas\Dyn\CharacterCommonHead\hailidama.png,Textures\Atlas\Dyn\CharacterHalfBody\Womanoldwoman.png,npc_nongcunlaopopo,112001,,3008,0,2001
,4339,Textures\Atlas\Dyn\CharacterCommonHead\Baya.png,Textures\Atlas\Dyn\CharacterHalfBody\Baya.png,npc_lvdianlaoban,100800,,0,0,0
,4340,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png,npc_dashu_normal,0,,0,0,0
,4341,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Travelereli.png,npc_lvxingzheaili,199001,,0,0,0
,4353,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\breadgodmissionary.png,npc_chuanjiaoshi,214001,,0,0,0
,4354,Textures\Atlas\Dyn\CharacterCommonHead\OusangBoyleAunt.png,Textures\Atlas\Dyn\CharacterHalfBody\OusangBoyleAunt.png,npc_ousangdashen,155001,,0,0,0
