,required,required,required,optional,optional
,uint32,uint32,uint32,uint32,uint32
英雄进阶,id,level,need_exp,ap_point,ap_reward
备注,id,战队等级,升级经验,体力值上限,奖励体力值
,19,19,8200,66,20
,20,20,9500,68,20
,21,21,11500,70,20
,22,22,13200,72,20
,23,23,15850,74,20
,24,24,16800,76,20
,25,25,20600,78,20
,26,26,25100,80,20
,27,27,27800,81,20
,28,28,34700,82,20
,29,29,38200,83,20
,30,30,41400,84,20
,31,31,48300,85,20
,32,32,65900,86,20
,33,33,72600,87,20
,34,34,78800,88,20
,35,35,86800,89,20
,36,36,89200,90,20
,37,37,95400,90,20
,38,38,95700,91,20
,39,39,97500,91,20
,40,40,118400,92,20
,41,41,130300,92,20
,42,42,146100,93,20
,43,43,154800,93,20
,44,44,168900,94,20
,45,45,179100,94,20
,46,46,195000,95,20
,47,47,223700,95,20
,48,48,248600,96,20
,49,49,275300,96,20
,50,50,305000,97,20
,51,51,245800,97,20
,52,52,263100,98,20
,53,53,283000,98,20
,54,54,305600,99,20
,55,55,331100,99,20
,56,56,359500,100,20
,57,57,391000,100,20
,58,58,425700,100,20
,59,59,464900,100,20
,60,60,507600,100,20
,61,61,555100,101,20
,62,62,606300,101,20
,63,63,664000,101,20
,64,64,724400,101,20
,65,65,793000,101,20
,66,66,864600,102,20
,67,67,944700,102,20
,68,68,1029500,102,20
,69,69,1121900,102,20
,70,70,1220800,102,20
,71,71,1327700,103,20
,72,72,1441400,103,20
,73,73,1563600,103,20
,74,74,1694600,103,20
,75,75,1834500,103,20
,76,76,1983600,104,20
,77,77,2142100,104,20
,78,78,2310300,104,20
,79,79,2490000,104,20
