,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
英雄进阶,id,hero_type_id,hero_class,hero_Level,item_id1,item_num1,replace_item,money,attr_type1,data1,attr_type2,data2,attr_type3,data3,equipment_addition
备注,id,英雄id,进阶等级,等级要求,物品,物品数量,替代物品,消耗钱,属性,值,属性,值,属性,值,装备属性加成 万分比
,10101,101,1,1,3011014,10,3010014,10000,0,0,0,0,0,0,0
,10102,101,2,1,3011014,10,3010014,10000,0,0,0,0,0,0,0
,10103,101,3,1,3011014,10,3010014,10000,0,0,0,0,0,0,2000
,10104,101,4,1,3011014,20,3010014,10000,0,0,0,0,0,0,0
,10105,101,5,1,3011014,20,3010014,10000,0,0,0,0,0,0,0
,10106,101,6,1,3011014,30,3010014,10000,0,0,0,0,0,0,0
,10107,101,7,1,3011014,40,3010014,10000,0,0,0,0,0,0,0
,10201,102,1,1,3011024,10,3010014,10000,0,0,0,0,0,0,0
,10202,102,2,1,3011024,10,3010014,10000,0,0,0,0,0,0,0
,10203,102,3,1,3011024,10,3010014,10000,0,0,0,0,0,0,2000
,10204,102,4,1,3011024,20,3010014,10000,0,0,0,0,0,0,0
,10205,102,5,1,3011024,20,3010014,10000,0,0,0,0,0,0,0
,10206,102,6,1,3011024,30,3010014,10000,0,0,0,0,0,0,0
,10207,102,7,1,3011024,40,3010014,10000,0,0,0,0,0,0,0
,10301,103,1,1,3011034,10,3010024,10000,0,0,0,0,0,0,0
,10302,103,2,1,3011034,10,3010024,10000,0,0,0,0,0,0,0
,10303,103,3,1,3011034,10,3010024,10000,0,0,0,0,0,0,2000
,10304,103,4,1,3011034,20,3010024,10000,0,0,0,0,0,0,0
,10305,103,5,1,3011034,20,3010024,10000,0,0,0,0,0,0,0
,10306,103,6,1,3011034,30,3010024,10000,0,0,0,0,0,0,0
,10307,103,7,1,3011034,40,3010024,10000,0,0,0,0,0,0,0
,10401,104,1,1,3011044,10,3010014,10000,0,0,0,0,0,0,0
,10402,104,2,1,3011044,10,3010014,10000,0,0,0,0,0,0,0
,10403,104,3,1,3011044,10,3010014,10000,0,0,0,0,0,0,2000
,10404,104,4,1,3011044,20,3010014,10000,0,0,0,0,0,0,0
,10405,104,5,1,3011044,20,3010014,10000,0,0,0,0,0,0,0
,10406,104,6,1,3011044,30,3010014,10000,0,0,0,0,0,0,0
,10407,104,7,1,3011044,40,3010014,10000,0,0,0,0,0,0,0
,10501,105,1,1,3011054,10,3010014,10000,0,0,0,0,0,0,0
,10502,105,2,1,3011054,10,3010014,10000,0,0,0,0,0,0,0
,10503,105,3,1,3011054,10,3010014,10000,0,0,0,0,0,0,2000
,10504,105,4,1,3011054,20,3010014,10000,0,0,0,0,0,0,0
,10505,105,5,1,3011054,20,3010014,10000,0,0,0,0,0,0,0
,10506,105,6,1,3011054,30,3010014,10000,0,0,0,0,0,0,0
,10507,105,7,1,3011054,40,3010014,10000,0,0,0,0,0,0,0
,10601,106,1,1,3011064,10,3010014,10000,0,0,0,0,0,0,0
,10602,106,2,1,3011064,10,3010014,10000,0,0,0,0,0,0,0
,10603,106,3,1,3011064,10,3010014,10000,0,0,0,0,0,0,2000
,10604,106,4,1,3011064,20,3010014,10000,0,0,0,0,0,0,0
,10605,106,5,1,3011064,20,3010014,10000,0,0,0,0,0,0,0
,10606,106,6,1,3011064,30,3010014,10000,0,0,0,0,0,0,0
,10607,106,7,1,3011064,40,3010014,10000,0,0,0,0,0,0,0
,10701,107,1,1,3011074,10,3010024,10000,0,0,0,0,0,0,0
,10702,107,2,1,3011074,10,3010024,10000,0,0,0,0,0,0,0
,10703,107,3,1,3011074,10,3010024,10000,0,0,0,0,0,0,2000
,10704,107,4,1,3011074,20,3010024,10000,0,0,0,0,0,0,0
,10705,107,5,1,3011074,20,3010024,10000,0,0,0,0,0,0,0
,10706,107,6,1,3011074,30,3010024,10000,0,0,0,0,0,0,0
,10707,107,7,1,3011074,40,3010024,10000,0,0,0,0,0,0,0
,10801,108,1,1,3011084,10,3010014,10000,0,0,0,0,0,0,0
,10802,108,2,1,3011084,10,3010014,10000,0,0,0,0,0,0,0
,10803,108,3,1,3011084,10,3010014,10000,0,0,0,0,0,0,2000
,10804,108,4,1,3011084,20,3010014,10000,0,0,0,0,0,0,0
,10805,108,5,1,3011084,20,3010014,10000,0,0,0,0,0,0,0
,10806,108,6,1,3011084,30,3010014,10000,0,0,0,0,0,0,0
,10807,108,7,1,3011084,40,3010014,10000,0,0,0,0,0,0,0
,11101,111,1,1,3011114,10,3010024,10000,0,0,0,0,0,0,0
,11102,111,2,1,3011114,10,3010024,10000,0,0,0,0,0,0,0
,11103,111,3,1,3011114,10,3010024,10000,0,0,0,0,0,0,2000
,11104,111,4,1,3011114,20,3010024,10000,0,0,0,0,0,0,0
,11105,111,5,1,3011114,20,3010024,10000,0,0,0,0,0,0,0
,11106,111,6,1,3011114,30,3010024,10000,0,0,0,0,0,0,0
,11107,111,7,1,3011114,40,3010024,10000,0,0,0,0,0,0,0
,11201,112,1,1,3011124,10,3010024,10000,0,0,0,0,0,0,0
,11202,112,2,1,3011124,10,3010024,10000,0,0,0,0,0,0,0
,11203,112,3,1,3011124,10,3010024,10000,0,0,0,0,0,0,2000
,11204,112,4,1,3011124,20,3010024,10000,0,0,0,0,0,0,0
,11205,112,5,1,3011124,20,3010024,10000,0,0,0,0,0,0,0
,11206,112,6,1,3011124,30,3010024,10000,0,0,0,0,0,0,0
,11207,112,7,1,3011124,40,3010024,10000,0,0,0,0,0,0,0
,11301,113,1,1,3011134,10,3010024,10000,0,0,0,0,0,0,0
,11302,113,2,1,3011134,10,3010024,10000,0,0,0,0,0,0,0
,11303,113,3,1,3011134,10,3010024,10000,0,0,0,0,0,0,2000
,11304,113,4,1,3011134,20,3010024,10000,0,0,0,0,0,0,0
,11305,113,5,1,3011134,20,3010024,10000,0,0,0,0,0,0,0
,11306,113,6,1,3011134,30,3010024,10000,0,0,0,0,0,0,0
,11307,113,7,1,3011134,40,3010024,10000,0,0,0,0,0,0,0
,11401,114,1,1,3011144,10,3010014,10000,0,0,0,0,0,0,0
,11402,114,2,1,3011144,10,3010014,10000,0,0,0,0,0,0,0
,11403,114,3,1,3011144,10,3010014,10000,0,0,0,0,0,0,2000
,11404,114,4,1,3011144,20,3010014,10000,0,0,0,0,0,0,0
,11405,114,5,1,3011144,20,3010014,10000,0,0,0,0,0,0,0
,11406,114,6,1,3011144,30,3010014,10000,0,0,0,0,0,0,0
,11407,114,7,1,3011144,40,3010014,10000,0,0,0,0,0,0,0
,11501,115,1,1,3011154,10,3010014,10000,0,0,0,0,0,0,0
,11502,115,2,1,3011154,10,3010014,10000,0,0,0,0,0,0,0
,11503,115,3,1,3011154,10,3010014,10000,0,0,0,0,0,0,2000
,11504,115,4,1,3011154,20,3010014,10000,0,0,0,0,0,0,0
,11505,115,5,1,3011154,20,3010014,10000,0,0,0,0,0,0,0
,11506,115,6,1,3011154,30,3010014,10000,0,0,0,0,0,0,0
,11507,115,7,1,3011154,40,3010014,10000,0,0,0,0,0,0,0
,11601,116,1,1,3011164,10,3010014,10000,0,0,0,0,0,0,0
,11602,116,2,1,3011164,10,3010014,10000,0,0,0,0,0,0,0
,11603,116,3,1,3011164,10,3010014,10000,0,0,0,0,0,0,2000
,11604,116,4,1,3011164,20,3010014,10000,0,0,0,0,0,0,0
,11605,116,5,1,3011164,20,3010014,10000,0,0,0,0,0,0,0
,11606,116,6,1,3011164,30,3010014,10000,0,0,0,0,0,0,0
,11607,116,7,1,3011164,40,3010014,10000,0,0,0,0,0,0,0
,20101,201,1,1,3012014,10,3010014,10000,0,0,0,0,0,0,0
,20102,201,2,1,3012014,10,3010014,10000,0,0,0,0,0,0,0
,20103,201,3,1,3012014,10,3010014,10000,0,0,0,0,0,0,2000
,20104,201,4,1,3012014,20,3010014,10000,0,0,0,0,0,0,0
,20105,201,5,1,3012014,20,3010014,10000,0,0,0,0,0,0,0
,20106,201,6,1,3012014,30,3010014,10000,0,0,0,0,0,0,0
,20107,201,7,1,3012014,40,3010014,10000,0,0,0,0,0,0,0
,30101,301,1,1,3013014,10,3010014,10000,0,0,0,0,0,0,0
,30102,301,2,1,3013014,10,3010014,10000,0,0,0,0,0,0,0
,30103,301,3,1,3013014,10,3010014,10000,0,0,0,0,0,0,2000
,30104,301,4,1,3013014,20,3010014,10000,0,0,0,0,0,0,0
