,required,required
,uint32,uint32
,approach_id,deblocking_id
备注,跳转id,解锁id
公会商城,301,17
梦境小铺,302,28
骑士商城,303,19
英雄商城,304,14
速递商店,305,14
自律联盟巡查,401,26
自律联盟委托,402,26
自律联盟悬赏,403,26
悬赏界面,404,26
自律联盟（四个npc头像的）,405,26
公会活动,501,17
公会悬赏,502,17
公会活动,503,17
每日副本,601,27
每日副本,602,27
每日副本,603,27
多人副本,701,25
多人副本,702,25
多人副本,703,25
好友宝箱,901,22
讨伐领主,902,24
每日必做,1001,29
背包,1003,0
周回副本,7000,38
周回副本,7001,38
周回副本,7002,38
周回副本,7003,38
周回副本,7004,38
周回副本,7005,38
周回副本,7006,38
周回副本,7007,38
周回副本,7008,38
周回副本,7009,38
周回副本,7010,38
周回副本,7011,38
周回副本,7012,38
周回副本,7013,38
周回副本,7014,38
周回副本,7015,38
周回副本,7016,38
周回副本,7017,38
周回副本,7018,38
周回副本,7019,38
周回副本,7020,38
温丽梦境,9000,28
圣界来袭宣传界面,9001,24
王牌通缉界面,9002,39
骑士考核,9003,19
黯月事件簿,9004,32
新人登入福利,10001,36
开服放送庆典,10002,36
英雄升级,100000,3
英雄突破,100001,4
装备强化,100002,5
装备升星,100003,0
装备进阶,100004,6
技能升级,100005,8
符文镶嵌,100006,9
英雄好感度,100007,2
本命助力,100008,11
本命升级,100009,12
本命升星,100010,13
好友列表,100011,21
