,required,required,required,required
,uint32,uint32,uint32,uint32
,id,approach_skip,data1,data2
备注,来源id,跳转的界面功能id,数据1,数据2
,501,1310,0,0
,502,1311,0,0
,503,1310,0,0
,700,2500,0,0
,701,2500,0,0
,702,2500,0,0
,703,2500,0,0
,7001,2200,3038,0
,7002,2200,3029,0
,7003,2200,3030,0
,7004,2200,3139,0
,7005,2200,3028,0
,7006,2200,3036,0
,7007,2200,3026,0
,7008,2200,3043,0
,7009,2200,3040,0
,7010,2200,3039,0
,7011,2200,3041,0
,7012,2200,3047,0
,7013,2200,3048,0
,7014,2200,3143,0
,7015,2200,3140,0
,7016,2200,3142,0
,7017,2200,3146,0
,7018,2200,3144,0
,7019,2200,3145,0
,7020,2200,3141,0
,9000,1400,0,0
,9001,3000,0,0
,9002,3100,0,0
,9003,1100,0,0
,9004,2900,0,0
,10003,2200,0,0
