,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,262701,,银母矿洞这地方，吃人不见血……幸好我逃出来了。唉！,,,,银母矿洞这地方，吃人不见血……幸好我逃出来了。唉！
,1368701,,嗨，爱琳娜，还有可爱的温丽小姐，好久不见呀。按照礼仪，我本该邀请两位小姐共度下午茶，不过我最近太疲惫，不如下次再约？,,,,嗨，爱琳娜，还有可爱的温丽小姐，好久不见呀。按照礼仪，我本该邀请两位小姐共度下午茶，不过我最近太疲惫，不如下次再约？
,1368702,,伦纳德，你这憔悴的神情，啧啧啧啧！年轻人，身体是本钱，要懂得节制啊。,,,,伦纳德，你这憔悴的神情，啧啧啧啧！年轻人，身体是本钱，要懂得节制啊。
,1368703,,事情可不是你想的那样。怎么说呢，这几日，我遇到了一些超出常理的事……就连比多猫大人，也无法给出解释的那种。,,,,事情可不是你想的那样。怎么说呢，这几日，我遇到了一些超出常理的事……就连比多猫大人，也无法给出解释的那种。
,1368704,,哦？说来听听？,,,,哦？说来听听？
,1368705,,能和两位小姐分享我的故事，是我的荣幸。前几日，我在酒馆和朋友小聚时，遇到个宝石商人，他正为仓库内大批宝石无人托运而苦恼。,,,,能和两位小姐分享我的故事，是我的荣幸。前几日，我在酒馆和朋友小聚时，遇到个宝石商人，他正为仓库内大批宝石无人托运而苦恼。
,1368706,,相逢即是缘。当晚，我便为他联系了几个强壮的佣兵，帮他解决了苦恼。他为了感谢我，便将仓库中一颗成色不错的宝石赠予了我……,,,,相逢即是缘。当晚，我便为他联系了几个强壮的佣兵，帮他解决了苦恼。他为了感谢我，便将仓库中一颗成色不错的宝石赠予了我……
,1368707,,等等，宝石？！这商人出手未免也太阔绰了吧？！还有，伦纳德，这种好事你居然没喊上我？,,,,等等，宝石？！这商人出手未免也太阔绰了吧？！还有，伦纳德，这种好事你居然没喊上我？
,1368708,,如果你喜欢宝石，下次我可以专门送你一颗。但是，这并不是重点。重点是，我拿到那颗宝石后，便开始日夜做噩梦……,,,,如果你喜欢宝石，下次我可以专门送你一颗。但是，这并不是重点。重点是，我拿到那颗宝石后，便开始日夜做噩梦……
,1368709,,梦里，一个陌生的男人浑身是伤……他一直追着我，嘴里喊着“还我……宝石……还我……”就像是索命一般，追着我要宝石。,,,,梦里，一个陌生的男人浑身是伤……他一直追着我，嘴里喊着“还我……宝石……还我……”就像是索命一般，追着我要宝石。
