,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32,uint32,uint32,string
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask,countdown_show,countdown_type,countdown_icon
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型,倒计时限时,是否显示倒计时,倒计时图标路径
,10719,0,1,2,0,0,3,1 2008 30807,1,,5,0,9999999,0,0,"2 0 2008 -69.11,-0.05,-22.38",0,0,0,0,
,10720,0,1,0,0,0,3,1 2008 21475,1,,2,0,0,0,0,1 1 2008 21475,0,0,0,0,
,10721,0,1,0,0,0,3,1 2008 21476,1,,5,0,0,0,0,1 1 2008 21476,0,0,0,0,
,10722,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10723,0,1,0,0,0,3,2 2008 900623,1,,5,0,0,0,0,1 2 2008 900623,0,0,0,0,
,10724,0,1,0,0,0,3,1 2008 30808,1,,2,0,0,0,0,"2 0 2008 -54.37,-0.21,-57.70",0,0,0,0,
,10725,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10726,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10727,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10728,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10729,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10730,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10731,0,1,0,0,0,3,"0 2008 -122.79,-0.42,-38.10",1,,2,0,0,0,0,"2 0 2008 -122.79,-0.42,-38.10",0,0,0,0,
,10732,0,1,0,0,0,3,1 2008 21476,1,,5,0,0,0,0,1 1 2008 21476,0,0,0,0,
,10733,0,1,0,0,0,3,1 2008 21476,1,,5,0,0,0,0,1 1 2008 21476,0,0,0,0,
,10734,0,1,0,0,0,3,1 2008 21476,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10735,0,1,0,0,0,1,,1,,2,0,0,0,0,,0,0,0,0,
,10738,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10739,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10740,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10741,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10742,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10743,0,1,0,0,0,3,1 2008 10047,1,,5,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10744,0,1,0,0,0,3,1 2008 10047,1,,2,0,0,0,0,"2 0 2008 -93.69,4.94,-46.80",0,0,0,0,
,10767,0,1,0,0,0,1,,1,,2,0,0,0,0,,0,0,0,0,
