,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1213401,12134,1,3042,-1,0,-1,0,3042,0,0,1
,1213402,12134,2,3042,-1,0,-1,0,3042,0,0,1
,1213501,12135,1,4517,-1,0,-1,0,4517,0,0,1
,1213502,12135,2,4518,4518,0,-1,0,4517,0,0,1
,1213601,12136,1,4517,-1,0,-1,0,4517,0,0,1
,1213602,12136,2,301,-1,0,-1,0,301,0,0,1
,1213701,12137,1,3673,-1,0,-1,0,3673,0,0,1
,1213801,12138,1,3042,-1,0,-1,0,3042,0,0,1
,1213802,12138,2,101,101,100102,-1,0,3042,0,0,1
,1213901,12139,1,3673,-1,0,-1,0,3673,0,0,1
,1214001,12140,1,3042,-1,0,-1,0,3042,0,0,1
,1214002,12140,2,301,301,0,-1,0,3042,0,0,1
,1214101,12141,1,301,-1,0,-1,0,301,0,0,1
,1214201,12142,1,3042,-1,0,-1,0,3042,0,0,1
,1214202,12142,2,101,101,0,-1,0,3042,0,0,1
,1214301,12143,1,101,101,0,-1,0,-1,0,0,1
,1214401,12144,1,4519,-1,0,-1,0,4519,0,0,1
,1214402,12144,2,101,101,100102,-1,0,4519,0,0,1
