,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1377001,13770,1,101,101,100108,-1,0,-1,0,0,1
,1377002,13770,2,3043,101,100108,-1,0,3043,0,0,1
,1377003,13770,3,101,101,100108,-1,0,3043,0,0,1
,1377004,13770,4,3043,101,100108,-1,0,3043,0,0,1
,1377005,13770,5,101,101,100102,-1,0,3043,0,0,1
,1377006,13770,6,3043,101,100102,-1,0,3043,0,0,1
,1377007,13770,7,101,101,100105,-1,0,3043,0,0,1
,1377101,13771,1,-1,-1,0,-1,0,-1,0,0,1
,1377102,13771,2,101,101,100108,-1,0,-1,0,0,1
,1377103,13771,3,3101,101,100108,-1,0,3101,0,0,1
,1377104,13771,4,101,101,100108,-1,0,3101,0,0,1
,1377105,13771,5,3101,101,100108,-1,0,3101,0,0,1
,1377106,13771,6,3101,101,100108,-1,0,3101,0,0,1
,1377107,13771,7,3101,101,100108,-1,0,3101,0,0,1
,1377201,13772,1,101,101,100105,-1,0,-1,0,0,1
,1377202,13772,2,3101,101,100108,-1,0,3101,0,0,1
,1377203,13772,3,201,101,100108,-1,0,201,0,0,1
,1377204,13772,4,101,101,0,-1,0,201,0,0,1
,1377205,13772,5,101,101,0,-1,0,201,0,0,1
,1377206,13772,6,201,101,0,-1,0,201,0,0,1
,1377207,13772,7,101,101,100108,-1,0,201,0,0,1
,1377208,13772,8,-1,101,100108,-1,0,201,0,0,1
,1377301,13773,1,101,101,100108,-1,0,-1,0,0,1
,1377302,13773,2,3101,101,100108,-1,0,3101,0,0,1
,1377303,13773,3,101,101,0,-1,0,3101,0,0,1
,1377304,13773,4,3101,101,0,-1,0,3101,0,0,1
,1377305,13773,5,101,101,0,-1,0,3101,0,0,1
,1377306,13773,6,3101,101,0,-1,0,3101,0,0,1
,1377307,13773,7,-1,-1,0,-1,0,-1,0,0,1
,1377308,13773,8,-1,-1,0,-1,0,-1,0,0,1
,1379301,13793,1,-1,-1,0,-1,0,-1,0,0,1
