,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1379401,13794,1,4529,4529,0,-1,0,-1,0,0,1
,1379402,13794,2,301,4529,0,-1,0,301,0,0,1
,1379403,13794,3,4529,4529,0,-1,0,301,0,0,1
,1379404,13794,4,301,4529,0,-1,0,301,0,0,1
,1379405,13794,5,9999,-1,0,9999,0,-1,0,0,1
,1379406,13794,6,101,101,100108,-1,0,-1,0,0,1
,1379407,13794,7,301,101,100108,-1,0,301,0,0,1
,1379408,13794,8,201,201,100205,-1,0,301,0,0,1
,1379409,13794,9,301,201,100205,-1,0,301,0,0,1
,1379410,13794,10,101,101,100108,-1,0,301,0,0,1
,1379411,13794,11,301,101,100108,-1,0,301,0,0,1
,1379501,13795,1,-1,-1,0,-1,0,-1,0,0,1
,1379502,13795,2,301,-1,0,-1,0,301,0,0,1
,1379503,13795,3,201,201,100205,-1,0,301,0,0,1
,1379504,13795,4,301,201,100205,-1,0,301,0,0,1
,1379601,13796,1,-1,-1,0,-1,0,-1,0,0,1
,1379701,13797,1,201,201,100205,-1,0,-1,0,0,1
,1379801,13798,1,4530,4530,0,-1,0,-1,0,0,1
,1379802,13798,2,4532,4530,0,-1,0,4532,0,0,1
,1379803,13798,3,4530,4530,0,-1,0,4532,0,0,1
,1379804,13798,4,4532,4530,0,-1,0,4532,0,0,1
,1379805,13798,5,4530,4530,0,-1,0,4532,0,0,1
,1379901,13799,1,-1,-1,0,-1,0,-1,0,0,1
,1380001,13800,1,201,201,100205,-1,0,-1,0,0,1
,1380002,13800,2,301,201,100205,-1,0,301,0,0,1
,1380003,13800,3,301,201,100205,-1,0,301,0,0,1
,1380101,13801,1,101,101,100108,-1,0,-1,0,0,1
,1380102,13801,2,301,101,100108,-1,0,301,0,0,1
,1380201,13802,1,101,101,100108,-1,0,-1,0,0,1
,1380202,13802,2,301,101,100108,-1,0,301,0,0,1
,1380301,13803,1,301,-1,0,-1,0,301,0,0,1
