,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,1379401,,呦，不愧是爱琳娜，眼光真不错。这个卷轴是个神秘人留下的，只待有缘人发现。,,,,
,1379402,,说得神秘兮兮的……这玩意不就是个卷轴，难不成这还会是个藏宝图？,,,,
,1379403,,（露出一脸神秘的笑容。）不可说不可说。你们使用了就知道了。,,,,
,1379404,,【哔——】！我不会猜中了吧！快快快，西蒙，打开看看！我们要赚大钱了！,,,,
,1379405,神秘卷轴,流言乱象，钱财人心。阳光下的阴暗，若隐若现。<br>风拂过高处，永不停歇的旋转木轮。夕阳下的光影，秘密一览无余。<br>                                                                                  ——MRJ,,,,
,1379406,,“MRJ”这个标记好特殊……是有什么特别的含义吗？,,,,
,1379407,,别看这些无用的线索，我们现在的重点是找出卷轴记录的地点……和地点有关的只有高处……风……海边？难道这指的是湖畔镇灯塔？,,,,
,1379408,,不对，信息里还提到了木轮，灯塔上并没有这个木轮……木……旋转……你们说，这听起来像不像风车？永不停歇……魔力石风车？！,,,,
,1379409,,很有道理，魔力石风车的确也在风车镇最高处。至于夕阳下的光影……指的是黄昏时分吧？现在赶去风车镇，时间应该差不多。出发！,,,,
,1379410,,等等，大姐头！我还是很在意，人心……秘密……阴暗这些内容是什么意思，还有奇怪的标记……我觉得卷轴里指代的信息并不简单。,,,,
,1379411,,别想那么多，拿了宝藏再说。西蒙，等赚了一笔后，我一定帮你好好调查清楚。快快快，动起来！再磨蹭，宝藏就要被人抢先手了！,,,,
,1379501,,爱琳娜围着风车仔仔细细地探查了一番，连墙角也没放过，然而却一无所获，什么也没发现。,,,,
,1379502,,【哔——】！不会【哔——】找错了吧？这上面什么鬼东西都没有！,,,,
,1379503,,爱琳娜姐姐别急。“秘密一览无余”这条信息代表的意思可能是指：这里其实只是个探查点，真正的宝藏地标需要从这里观察发现？,,,,
,1379504,,从这放眼望去，只有茫茫一片的森林……【哔——】！看我发现了什么！在夕阳余晖的照射下，可以看到森林深处有个哥布林和蒙面人！,,,,
,1379601,,,,,,
,1379701,,嘘……停，还别过去，他们好像在密谋着什么，我们先在这里听听看……,,,,
,1379801,,（从口袋里拿出一个神秘的袋子。）什么该写什么不该写，该怎么<br>写，你们心里应该有数吧？,,,,
,1379802,,那是当然，只要钱到位，全按您的要求来！不过嘛，这次的难度有些大，如果想要完全掌控方向，需要再多点……,,,,
,1379803,,哦？你想加多少？,,,,
,1379804,,不多，再加3成！我保证报道一出，铺天盖地的流言……到时候，我再趁乱加点料，效果妥妥的！论编稿，我们是专业的！,,,,
,1379805,,好。成交。,,,,
,1379901,,蒙面人走后，哥布林迅速将神秘袋子藏进衣服，随后神情紧张地四处张望，朝森林深处跑去。,,,,
,1380001,,编稿……流言……收钱……难道是我想的那样吗？最近卡诺萨城经常流传一些很奇怪的报道，里面的内容半真半假，恶意抹黑贵族……,,,,
,1380002,,从他俩交易的过程来看，的确很像收黑钱写乱七八糟的报道。不过，这些也都只是推测，没什么实质性证据……,,,,
,1380003,,说起来，卷轴里提到的“流言乱象，钱财人心”，难道指的就是这些龌龊钱？快，赶紧跟上！跟着那个哥布林说不定能有意外收获！,,,,
,1380101,,奇怪，那个哥布林跑的方向明明是这里，怎么一眨眼就不见了？,,,,
,1380102,,哥布林这种生物，只要拿到财宝一定会第一时间藏起来。他如果突然消失，那就说明这附近必然有他们的藏宝巢穴。四处找找看。,,,,
,1380201,,大姐头！这里有个隐蔽的洞口！,,,,
,1380202,,看这洞口周围刻意伪装的枯草……很明显，是那群单细胞哥布林的巢穴没错了。进去探探。,,,,
,1380301,,我的直觉告诉我，那个鬼鬼祟祟的哥布林和卷轴里的宝藏一定存在着某种关系！,,,,
