,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,award_id,award_type,award_type_id,award_num,award_show
备注,id,奖励id,类型,物品id,物品数量,是否展示
,10947,7000673,1,2110001,30,0
,10948,7000673,1,120012,5,0
,10949,7000673,1,3,50000,0
,10950,7000674,1,2120013,10,0
,10951,7000674,1,210000,5,0
,10952,7000674,1,3,50000,0
,10953,7000675,1,2120102,10,0
,10954,7000675,1,2120202,10,0
,10955,7000675,1,2120302,10,0
,10956,7000675,1,2120402,10,0
,10957,7000676,1,3060030,2,0
,10958,7000676,1,120012,5,0
,10959,7000676,1,3,50000,0
,10960,7000677,1,3030013,1,0
,10961,7000677,1,210000,5,0
,10962,7000677,1,12,500,0
,10963,7000678,1,420014,1,0
,10964,7000678,1,2110001,50,0
,10965,7000678,1,120012,5,0
,10966,7000679,1,2110002,10,0
,10967,7000679,1,13,5,0
,10968,7000679,1,14,10,0
,10969,7000680,1,421014,1,0
,10970,7000680,1,6003003,10,0
,10971,7000680,1,8,200000,0
,10972,7000681,1,2000054,2,0
,10973,7000681,1,2120014,5,0
,10974,7000681,1,3,200000,0
,10975,7000682,1,10,50,0
,10976,7000682,1,16,800,0
,10977,7000682,1,210000,5,0
,10978,7000683,1,3030014,1,0
,10979,7000683,1,3030013,2,0
,10980,7000683,1,120012,5,0
,10981,7000684,1,2000064,1,0
,10982,7000684,1,210023,3,0
,10983,7000684,1,210000,5,0
,10984,7000685,1,1,2000,0
,10985,7000685,1,420014,2,0
,10986,7000685,1,3060030,5,0
,10987,7000685,1,3,200000,0
