,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,sort,activity_id,monitor_id,mask_index,mask_id,award,point,data1
备注,分段id,分段类别,活动id,监听事件id,掩码字段位,掩码值,奖励id,积分点数,数据1
,2020000,3,0,1021,1,36,7000673,0,0
,2020001,3,0,1022,1,37,7000674,0,0
,2020002,3,0,1023,1,38,7000675,0,0
,2020003,3,0,1024,1,39,7000676,0,0
,2020004,3,0,1025,1,40,7000677,0,0
,2020005,3,0,1149,1,41,7000678,0,0
,2020006,3,0,1150,1,42,7000679,0,0
,2020007,3,0,1151,1,43,7000680,0,0
,2020008,3,0,1152,1,44,7000681,0,0
,2020009,3,0,2115,1,45,7000682,0,0
,2020010,3,0,2116,1,46,7000683,0,0
,2020011,3,0,2117,1,47,7000684,0,0
,2020012,3,0,2118,1,48,7000685,0,0
