,id,talkName,dialogue,firstBtnText,secondBtnText,actionText,dialogue_Japanese
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数,日配对白内容
,518601,,哥布林瘦瘦小小的，看起来完全没什么战斗力啊！,,,,哥布林瘦瘦小小的，看起来完全没什么战斗力啊！
,518602,,小心不要被他们的外表给骗了，你也知道哥布林<br>们的肚子里全都是阴谋诡计！,,,,小心不要被他们的外表给骗了，你也知道哥布林<br>们的肚子里全都是阴谋诡计！
,518701,,快看，那是骗子哈扎克！,,,,快看，那是骗子哈扎克！
,518702,,我们必须在一定时间内把它抓住！<br>不然的话，鬼知道狡猾的他会耍什么花招！,,,,我们必须在一定时间内把它抓住！<br>不然的话，鬼知道狡猾的他会耍什么花招！
,518901,,追得累不累啊~~蠢货们！,,,,追得累不累啊~~蠢货们！
,518902,,我跟你说，哈扎克这次你可真的完蛋了！,,,,我跟你说，哈扎克这次你可真的完蛋了！
,519001,,喏，你这些花招在我的剑的面前，毫无用处……,,,,喏，你这些花招在我的剑的面前，毫无用处……
,519002,,哈，你这些身体在我的拳头的面前，就是纸糊的……,,,,哈，你这些身体在我的拳头的面前，就是纸糊的……
,519003,,你们俩真是够了！该走了！,,,,你们俩真是够了！该走了！
,519101,,饿狼巢穴到处都是狼王的部下，<br>他们帮着碎魂狼王干了不少坏事！,,,,饿狼巢穴到处都是狼王的部下，<br>他们帮着碎魂狼王干了不少坏事！
,519102,,忍不了！为无辜的镇民们讨回公道！,,,,忍不了！为无辜的镇民们讨回公道！
,519201,碎魂狼王乌迪尔,你们给我等着……<br>一定会再找你们报仇的！,,,,你们给我等着……<br>一定会再找你们报仇的！
,519202,,哼，这叫以暴制暴！<br>西蒙温丽，我们走！,,,,哼，这叫以暴制暴！<br>西蒙温丽，我们走！
,677701,,哥布林果然阴险狡诈，差点被暗算了！等着吧，我可不会轻易放过<br>你们……,,,,哥布林果然阴险狡诈，差点被暗算了！等着吧，我可不会轻易放过<br>你们……
,677702,,好啦，爱琳娜姐姐，他也被你打得眼冒金星了，你就别生气了。,,,,好啦，爱琳娜姐姐，他也被你打得眼冒金星了，你就别生气了。
,683601,,这个虫卵，里面居然装满了富含魔力的素材？嘿，我们这次绝对<br>赚翻了！,,,,这个虫卵，里面居然装满了富含魔力的素材？嘿，我们这次绝对<br>赚翻了！
,710801,,这些战利品被机器人守护着。看来不击败他是拿不到战利品了。,,,,这些战利品被机器人守护着。看来不击败他是拿不到战利品了。
,714701,,（已经找到全部宝物了，现在可以离开这里了。）,,,,（已经找到全部宝物了，现在可以离开这里了。）
,719401,重卫机甲·特二型,竟然连深海巨鳍都被击败了？！但这可是我全新设计的机甲，绝对不可能败给你们！,,,,竟然连深海巨鳍都被击败了？！但这可是我全新设计的机甲，绝对不可能败给你们！
,721101,,入口随时会被风沙掩盖，离开后将无法再度进入。,我要离开。,再找找其他宝物。,,入口随时会被风沙掩盖，离开后将无法再度进入。
