,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,monitor_type,type,type_id,num_type,data1,data2,data3,data4,mask1,mask2
备注,监听id,监听类型,事件大类型,事件子类型,数量类型,数据1,数据2,数据3,数据4,掩码1,掩码2
战队升级,1018,1,2,1,1,5,0,0,0,0,0
战队升级,1019,1,2,1,1,10,0,0,0,0,0
战队升级,1020,1,2,1,1,15,0,0,0,0,0
战队升级,1021,1,2,1,1,20,0,0,0,0,0
战队升级,1022,1,2,1,1,25,0,0,0,0,0
战队升级,1023,1,2,1,1,30,0,0,0,0,0
战队升级,1024,1,2,1,1,35,0,0,0,0,0
战队升级,1025,1,2,1,1,40,0,0,0,0,0
战队升级,1149,1,2,1,1,45,0,0,0,0,0
战队升级,1150,1,2,1,1,50,0,0,0,0,0
战队升级,1151,1,2,1,1,55,0,0,0,0,0
战队升级,1152,1,2,1,1,60,0,0,0,0,0
战队升级,1334,1,2,1,1,37,0,0,0,0,0
战队升级,1335,1,2,1,1,33,0,0,0,0,0
战队升级,1338,1,2,1,1,35,0,0,0,0,0
战队升级,1340,1,2,1,1,27,0,0,0,0,0
战队升级,2115,1,2,1,1,65,0,0,0,0,0
战队升级,2116,1,2,1,1,70,0,0,0,0,0
战队升级,2117,1,2,1,1,75,0,0,0,0,0
战队升级,2118,1,2,1,1,80,0,0,0,0,0
