,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1380601,13806,1,3043,-1,0,-1,0,3043,0,0,1
,1380602,13806,2,201,201,0,-1,0,3043,0,0,1
,1380603,13806,3,3043,201,0,-1,0,3043,0,0,1
,1380604,13806,4,3043,201,0,-1,0,3043,0,0,1
,1380605,13806,5,201,201,0,-1,0,3043,0,0,1
,1380701,13807,1,101,101,0,-1,0,-1,0,0,1
,1380702,13807,2,3647,101,0,-1,0,3647,0,0,1
,1380703,13807,3,3647,101,0,-1,0,3647,0,0,1
,1380704,13807,4,101,101,0,-1,0,3647,0,0,1
,1380801,13808,1,3182,-1,0,-1,0,3182,0,0,1
,1380802,13808,2,101,101,0,-1,0,3182,0,0,1
,1380803,13808,3,3182,101,0,-1,0,3182,0,0,1
,1380804,13808,4,101,101,0,-1,0,3182,0,0,1
,1380805,13808,5,3182,101,0,-1,0,3182,0,0,1
,1380806,13808,6,101,101,0,-1,0,3182,0,0,1
,1380807,13808,7,3182,101,0,-1,0,3182,0,0,1
,1380808,13808,8,-1,-1,0,-1,0,-1,0,0,1
,1380809,13808,9,-1,-1,0,-1,0,-1,0,0,1
,1380810,13808,10,3182,-1,0,-1,0,3182,0,0,1
,1380811,13808,11,101,101,100108,-1,0,3182,0,0,1
,1380901,13809,1,3182,-1,0,-1,0,3182,0,0,1
,1380902,13809,2,101,101,0,-1,0,3182,0,0,1
,1380903,13809,3,3182,101,0,-1,0,3182,0,0,1
,1380904,13809,4,3048,3048,0,-1,0,3182,0,0,1
,1380905,13809,5,3182,3048,0,-1,0,3182,0,0,1
,1380906,13809,6,3048,3048,0,-1,0,3182,0,0,1
,1380907,13809,7,3182,3048,0,-1,0,3182,0,0,1
,1380908,13809,8,-1,-1,0,-1,0,-1,0,0,1
,1381001,13810,1,-1,-1,0,-1,0,-1,0,0,1
,1381002,13810,2,3182,-1,0,-1,0,3182,0,0,1
,1381101,13811,1,3184,3184,0,-1,0,3182,0,0,1
,1381201,13812,1,3186,-1,0,-1,0,3186,0,0,1
,1381202,13812,2,101,101,0,-1,0,3186,0,0,1
,1381301,13813,1,101,-1,0,-1,0,101,0,0,1
,1381302,13813,2,201,201,0,-1,0,101,0,0,1
,1381303,13813,3,201,201,0,-1,0,101,0,0,1
,1381304,13813,4,201,201,0,-1,0,101,0,0,1
,1381305,13813,5,3186,201,0,-1,0,3186,0,0,1
,1381401,13814,1,101,-1,0,-1,0,101,0,0,1
,1381402,13814,2,201,201,0,-1,0,101,0,0,1
,1381403,13814,3,201,201,0,-1,0,101,0,0,1
,1381404,13814,4,201,201,0,-1,0,101,0,0,1
,1381405,13814,5,3186,201,0,-1,0,3186,0,0,1
,1381501,13815,1,3186,-1,0,-1,0,3186,0,0,1
,1381502,13815,2,101,101,0,-1,0,3186,0,0,1
,1381503,13815,3,3182,3182,0,-1,0,3186,0,0,1
,1381504,13815,4,3186,3182,0,-1,0,3186,0,0,1
,1381505,13815,5,3182,3182,0,-1,0,3186,0,0,1
,1381506,13815,6,3186,3182,0,-1,0,3186,0,0,1
,1381507,13815,7,3182,3182,0,-1,0,3186,0,0,1
,1381508,13815,8,3186,3182,0,-1,0,3186,0,0,1
,1381509,13815,9,101,101,0,-1,0,-1,0,0,1
,1381510,13815,10,-1,-1,0,-1,0,-1,0,0,1
,1381511,13815,11,3182,3182,0,-1,0,3186,0,0,1
,1381601,13816,1,3182,-1,0,-1,0,3182,0,0,1
,1381602,13816,2,-1,-1,0,-1,0,-1,0,0,1
,1381603,13816,3,3182,-1,0,-1,0,3182,0,0,1
,1381604,13816,4,3182,-1,0,-1,0,3182,0,0,1
,1381605,13816,5,3182,-1,0,-1,0,3182,0,0,1
,1381606,13816,6,101,101,100108,-1,0,3182,0,0,1
,1381701,13817,1,3186,-1,0,-1,0,3186,0,0,1
,1381702,13817,2,-1,-1,0,-1,0,-1,0,0,1
,1381703,13817,3,3186,-1,0,-1,0,3186,0,0,1
,1381704,13817,4,3186,-1,0,-1,0,3186,0,0,1
,1381705,13817,5,3186,-1,0,-1,0,3186,0,0,1
,1381706,13817,6,101,101,100108,-1,0,3186,0,0,1
