,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,repeated,optional,repeated,optional,optional,optional,optional,optional
,uint32,string,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,name,group,type,map_attr,map_times,team_max,team_min,fire,money,user_exp,hero_exp,exp_ball,reward_id,time,need_ap,auto,activity_id,activity_award
备注,地图id,地图名称,分组,地图类型,地图属性二进制,次数类型,最多组队人数,最少组队人数,是否篝火,通关金币,通关战队经验值,通关英雄经验值,通关经验球经验值,奖励id,通关限制时间,需要体力值,是否支持自动探索,活动id,活动奖励id
,3036,哀嚎神殿,1,7,0,1,0,0,0,0,0,0,0,1000031,3600,12,1,10057,7001250
,3029,玫瑰团驻地,1,7,0,1,0,0,0,0,0,0,0,1000848,2400,10,1,10057,7001246
,3030,哥布林巢穴,1,7,0,1,0,0,0,0,0,0,0,1000834,2400,10,1,10057,7001247
,3038,饿狼巢穴,1,7,0,1,0,0,0,0,0,0,0,1000833,2400,10,1,10057,7001245
,3026,魔族之心,1,7,0,1,0,0,0,0,0,0,0,1000843,2400,20,1,10057,7001251
,3028,露西蒂尼之墓,1,7,0,1,0,0,0,0,0,0,0,1000842,2400,10,1,10057,7001249
,3145,黄金立方,1,7,0,1,0,0,0,0,0,0,0,1000616,2400,20,1,10057,7001263
,3039,风沙堡,1,7,0,1,0,0,0,0,0,0,0,1000847,1800,30,1,10057,7001254
,3040,沙海虫巢,1,7,0,1,0,0,0,0,0,0,0,1000844,1800,12,1,10057,7001253
,3043,荒原古堡,1,7,0,1,0,0,0,0,0,0,0,1000836,1800,12,1,10057,7001252
,3041,银母矿洞,1,7,0,1,0,0,0,0,0,0,0,1000846,2400,20,1,10057,7001255
,3047,凋零之地,1,7,0,1,0,0,0,0,0,0,0,1000849,1800,20,1,10057,7001256
,3048,树心街,1,7,0,1,0,0,0,0,0,0,0,1000615,2400,20,1,10057,7001257
,3140,枭鹰矿洞,1,7,0,1,0,0,0,0,0,0,0,1000851,2400,20,1,10057,7001259
,3141,黑龙战舰,1,7,0,1,0,0,0,0,0,0,0,1000837,3600,20,1,10057,7001264
,3142,枭鹰邦域,1,7,0,1,0,0,0,0,0,0,0,1000852,2400,20,1,10057,7001260
,3144,深海实验室普通本,1,7,0,1,0,0,0,0,0,0,0,1000850,2400,20,1,10057,7001262
,3139,,1,7,0,1,0,0,0,0,0,0,0,1000845,2400,10,1,10057,7001248
,3143,失事飞船,1,7,0,1,0,0,0,0,0,0,0,1000841,2400,20,1,10057,7001258
,3146,神迹实验室,1,7,0,1,0,0,0,0,0,0,0,1000835,1800,20,1,10057,7001261
