,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string
,id,name,percent,position,isalive,listen_actor,trigger_type,trigger_arg1,trigger_arg2,trigger_arg3,trigger_arg4,respond_actor,respond_type,respond_arg1,respond_arg2,respond_arg3,respond_arg4
备注,流水号,name,生效概率,所在位置才触发,存活状态才触发,监听触发的角色,触发事件的类型,触发事件条件参数1,触发事件条件参数2,触发事件条件参数3,触发事件条件参数4,响应事件的角色,响应事件的类型,响应事件参数1,响应事件参数2,响应事件参数3,响应事件参数4
,441101,,10000,1,1,12,125,80,30,0,0,30,21,104421,1,0,
,441102,,10000,1,1,10,125,0,30,0,0,30,21,104421,1,0,
,441201,,10000,1,1,12,125,80,30,0,0,30,21,104422,1,0,
,441202,,10000,1,1,10,125,0,30,0,0,30,21,104422,1,0,
,441301,,10000,1,1,12,125,80,30,0,0,30,21,104423,1,0,
,441302,,10000,1,1,10,125,0,30,0,0,30,21,104423,1,0,
,442101,,10000,1,1,12,125,80,30,0,0,30,11,72,0,200,
,442102,,10000,1,1,10,125,0,30,0,0,30,11,72,0,200,
,442201,,10000,1,1,12,125,80,30,0,0,30,11,72,0,300,
,442202,,10000,1,1,10,125,0,30,0,0,30,11,72,0,300,
,442301,,10000,1,1,12,125,80,30,0,0,30,11,72,0,400,
,442302,,10000,1,1,10,125,0,30,0,0,30,11,72,0,400,
,10741,,10000,1,1,10,2,1,0,0,0,10,21,201701,1,0,
,40141,,3000,0,0,10,1,0,0,0,0,10,21,200901,1,0,
,40142,,10000,0,0,10,1,0,0,0,0,10,21,200901,1,0,
,10721,,10000,1,1,20,11,73,2,3500,0,10,11,13,0,3000,
