,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string
,id,name,percent,position,isalive,listen_actor,trigger_type,trigger_arg1,trigger_arg2,trigger_arg3,trigger_arg4,respond_actor,respond_type,respond_arg1,respond_arg2,respond_arg3,respond_arg4
备注,流水号,name,生效概率,所在位置才触发,存活状态才触发,监听触发的角色,触发事件的类型,触发事件条件参数1,触发事件条件参数2,触发事件条件参数3,触发事件条件参数4,响应事件的角色,响应事件的类型,响应事件参数1,响应事件参数2,响应事件参数3,响应事件参数4
,4411,,10000,1,1,10,1,0,0,0,0,99,441101,441102,0,0,
,4412,,10000,1,1,10,1,0,0,0,0,99,441201,441202,0,0,
,4413,,10000,1,1,10,1,0,0,0,0,99,441301,441302,0,0,
,4421,,10000,1,1,10,1,0,0,0,0,99,442101,442102,0,0,
,4422,,10000,1,1,10,1,0,0,0,0,99,442201,442202,0,0,
,4423,,10000,1,1,10,1,0,0,0,0,99,442301,442302,0,0,
,4801,,10000,0,1,10,1,0,0,0,0,10,99,480101,480102,0,
,4802,,10000,0,1,10,1,0,0,0,0,10,99,480201,480202,0,
,4803,,10000,0,1,10,1,0,0,0,0,10,99,480301,480302,0,
,5061,,10000,0,0,10,44,0,0,0,0,10,54,500,10,0,
,5062,,10000,0,0,10,44,0,0,0,0,10,54,700,10,0,
,5063,,10000,0,0,10,44,0,0,0,0,10,54,900,10,0,
,5064,,10000,0,0,10,44,0,0,0,0,10,54,1200,10,0,
,5065,,10000,0,0,10,44,0,0,0,0,10,56,1500,10,0,
,5071,,10000,0,0,10,32,1,73,0,0,10,34,10200,10800,10,
,5072,,10000,0,0,10,32,1,73,0,0,10,34,10300,11200,10,
,5073,,10000,0,0,10,32,1,73,0,0,10,34,10400,11600,10,
,5074,,10000,0,0,10,32,1,73,0,0,10,34,10500,12000,10,
,5075,,10000,0,0,10,32,1,73,0,0,10,34,10600,12400,10,
,5081,,10000,0,0,10,40,0,0,0,0,10,99,508101,508102,508103,
,5082,,10000,0,0,10,40,0,0,0,0,10,99,508201,508202,508203,
,5083,,10000,0,0,10,40,0,0,0,0,10,99,508301,508302,508303,
,5084,,10000,0,0,10,40,0,0,0,0,10,99,508401,508402,508403,
,5085,,10000,0,0,10,40,0,0,0,0,10,99,508501,508502,508503,
,5091,,10000,0,0,10,44,0,0,0,0,10,99,509101,509102,509103,
,5092,,10000,0,0,10,44,0,0,0,0,10,99,509201,509202,509203,
,5093,,10000,0,0,10,44,0,0,0,0,10,99,509301,509302,509303,
,5094,,10000,0,0,10,44,0,0,0,0,10,99,509401,509402,509403,
,5095,,10000,0,0,10,44,0,0,0,0,10,99,509501,509502,509503,
,5101,,10000,0,0,20,32,1,73,0,0,10,33,10200,10800,10,2
,5102,,10000,0,0,20,32,1,73,0,0,10,33,10300,11200,10,2
,5103,,10000,0,0,20,32,1,73,0,0,10,33,10400,11600,10,2
,5104,,10000,0,0,20,32,1,73,0,0,10,33,10500,12000,10,2
,5105,,10000,0,0,20,32,1,73,0,0,10,33,10600,12400,10,2
,5111,,10000,0,0,20,32,1,73,0,0,10,33,10200,10800,10,1
,5112,,10000,0,0,20,32,1,73,0,0,10,33,10300,11200,10,1
,5113,,10000,0,0,20,32,1,73,0,0,10,33,10400,11600,10,1
,5114,,10000,0,0,20,32,1,73,0,0,10,33,10500,12000,10,1
,5115,,10000,0,0,20,32,1,73,0,0,10,33,10600,12400,10,1
,5261,,3000,0,0,10,1,0,0,0,0,10,11,72,0,150,
,5262,,4500,0,0,10,1,0,0,0,0,10,11,72,0,150,
,5263,,6000,0,0,10,1,0,0,0,0,10,11,72,0,150,
,5264,,7500,0,0,10,1,0,0,0,0,10,11,72,0,150,
,5265,,9000,0,0,10,1,0,0,0,0,10,11,72,0,150,
,5361,,10000,0,0,10,11,73,1,8000,0,10,31,0,1500,0,
,5362,,10000,0,0,10,11,73,1,8000,0,10,31,0,2200,0,
,5363,,10000,0,0,10,11,73,1,8000,0,10,31,0,2900,0,
,5364,,10000,0,0,10,11,73,1,8000,0,10,31,0,3700,0,
,5365,,10000,0,0,10,11,73,1,8000,0,10,31,0,4500,0,
,5461,,10000,0,0,10,44,0,0,0,0,10,151,2000,0,0,
,5481,,2000,0,0,10,44,0,0,0,0,10,151,5000,0,0,
,5482,,3000,0,0,10,44,0,0,0,0,10,151,5000,0,0,
,5483,,4000,0,0,10,44,0,0,0,0,10,151,5000,0,0,
,5484,,5000,0,0,10,44,0,0,0,0,10,151,5000,0,0,
,5485,,6000,0,0,10,44,0,0,0,0,10,151,5000,0,0,
技能3,10205,,4000,1,1,10,1,0,0,0,0,10,21,100101,1,0,
天赋1,10234,,10000,0,0,10,1,0,0,0,0,10,112,10235,10205,0,
,10235,,6500,1,1,10,1,0,0,0,0,10,21,100101,1,0,
,10291,,10000,0,1,40,64,0,0,1,0,10,99,1029101,1029102,0,
,10292,,10000,0,1,40,64,0,0,1,0,10,99,1029201,1029202,0,
,10293,,10000,0,1,40,64,0,0,1,0,10,99,1029301,1029302,0,
技能2,10405,,10000,1,1,10,44,0,0,0,0,10,151,500,0,0,
,10410,,10000,0,0,10,40,30,0,0,0,10,31,0,5000,0,
突破2,10434,,10000,0,1,10,40,80,0,0,0,10,144,1,1000,0,
天赋2,10436,,10000,0,1,10,44,22,0,0,0,10,99,10439,0,0,
,10439,,10000,1,1,10,11,73,2,2000,0,10,150,5,10000,0,
技能2,10601,,10000,0,1,40,21,2013,0,0,0,10,160,10638,0,0,
特性,10730,,10000,0,0,10,31,2,1,0,0,10,11,72,0,50,
天赋2,10734,,10000,1,1,10,44,70,0,0,0,10,99,10737,0,0,
使用辅助技后恢复500XP,10737,,10000,1,1,10,118,2014,2015,2016,2017,10,11,72,0,500,
,10738,,10000,1,1,10,2,1,0,0,0,10,21,201401,1,0,
,10739,,10000,1,1,10,2,1,0,0,0,10,21,201501,1,0,
,10740,,10000,1,1,10,2,1,0,0,0,10,21,201601,1,0,
,11109,,10000,1,1,10,11,73,2,5000,0,10,144,1,1000,0,
护盾值高于生命值时，命中率提升20%,11136,,10000,0,0,10,72,1,10000,0,0,10,11,11,0,2000,
护盾值高于生命值时，暴击率提升20%,11137,,10000,0,0,10,72,1,10000,0,0,10,11,13,0,2000,
