,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1266101,12661,1,101,-1,0,101,100114,-1,0,0,1
,1266201,12662,1,101,-1,0,101,100114,-1,0,0,1
,1266301,12663,1,101,-1,0,101,100114,-1,0,0,1
,1266401,12664,1,101,-1,0,101,100114,-1,0,0,1
,1266501,12665,1,101,-1,0,101,100114,-1,0,0,1
,1266601,12666,1,101,-1,0,101,100114,-1,0,0,1
,1266701,12667,1,101,-1,0,101,100114,-1,0,0,1
,1266801,12668,1,101,-1,0,101,100114,-1,0,0,1
,1266901,12669,1,101,-1,0,101,100114,-1,0,0,1
