,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3120001,追击丧尸,3120,2,200593,62,1,0,0,0,0,24,,0,1
,3120002,追击丧尸,3120,2,200593,63,1,0,0,0,0,24,,0,1
,3120003,巡逻丧尸,3120,2,200594,60,1,0,0,0,0,24,,0,1
,3120004,巡逻丧尸,3120,2,200594,61,1,0,0,0,0,24,,0,1
,3120005,潜伏丧尸,3120,2,200595,56,1,0,0,0,0,24,,0,1
,3120006,潜伏丧尸,3120,2,200595,57,1,0,0,0,0,24,,0,1
,3120007,潜伏丧尸,3120,2,200595,58,1,0,0,0,0,24,,0,1
,3120008,潜伏丧尸,3120,2,200595,59,1,0,0,0,0,24,,0,1
,3120009,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120010,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120011,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120012,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120013,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120014,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120015,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120016,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120017,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120018,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120019,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120020,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120021,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120022,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120023,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120024,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120025,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120026,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120027,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120028,追击丧尸,3120,2,200593,52,1,0,0,0,0,24,,0,1
,3120029,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120030,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120031,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120032,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120033,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120034,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120035,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120036,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120037,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120038,魔法石,3120,1,30635,0,1,0,0,0,0,0,"0,0,0",0,1
,3120039,buff,3120,1,30636,0,1,0,0,0,0,0,"0,0,0",0,1
