,required,required,optional,required,required,required,required,optional,required,repeated,repeated,required,repeated,required,repeated,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32
,id,name,attr_type,type,sex,family,profession,level,attr_id,special_effects,own_skills,skill_que,skill_vis,skill_loop_que,skill_que_vis,action_id
备注,怪物ID,注释,属性适配类型,怪物类型,性别,家族,职业类型,等级,怪物属性ID,特殊效果ID,拥有技能列表,技能序列,技能序列可见性,循环技能序列,循环技能序列可见性,效果ID
,1000905,A型感染者,0,0,1,3,1,0,10019,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000906,受惊的僵尸,0,0,1,3,1,0,10001,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000907,受惊的僵尸,0,1,1,3,1,0,10001,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000941,丧尸法师,0,0,1,3,1,0,10013,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000942,僵尸老婆,0,0,1,3,1,0,10001,,1004001;1004002,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000943,受惊的僵尸,0,0,1,3,1,0,10001,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000944,受惊的僵尸,0,0,1,3,1,0,10001,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
